clean_text,label
ãƒâ¥ãƒâ€quãƒâœã‚â© pedernal mi niãƒâœã‚â±o en las noticias hablaron de un tornado por allãƒâœãƒâ ãƒâ¥ãƒâ€todo bien,Non-Informative
possible debris ball on radar near little this cell looks very dangerous okemah ok seek shelter,Informative
southern oklahoma tornado warnings remain in effect for marshall county johnston county and love county,Informative
two dead from oklahoma tornado,Informative
an e4 possibly e5 tornado just touched down north of okc breaking news on,Informative
we need you in joplin missouri bring hope to the city after the devastating tornado will you please come,Non-Informative
another tornado warning this time for rockingham and caswell counties,Informative
seek shelter rt possible tornado approaching keller southlake and colleyville,Informative
well not tornado sirens lol,Non-Informative
rt multiple reports in tarrant county heading at dfw airport,Informative
take any chances with that stuff anymore either cuz in the 90s they lived in mo a tornado pretty much started in,Non-Informative
tornado warning for dallas county until 845pm cdt for more info,Informative
tornado warning for cooke cty possible tornado 8 miles west of valley view rshade,Informative
tonto got one thing righttwister like devil so is nature as gods wrath warning moral dummies,Non-Informative
possible tornado 5 miles south of poolville in parker cty moving east at 40 mph this will track very close to spr,Informative
correction tornado watch for the entire kc metro until 3 am,Informative
expect straight line winds in tulsa along with tornado threat,Informative
tornado watch has been discontinued for the new river valley,Informative
is overwhelmed asking to stop all noncash donations call 5734434523 or text joplin to 864833 to find out how you can help,Informative
going live on breaking news re multiple deaths in as new tornado strikes plus incredible survival sto,Informative
tornado warning now for ne parker and northern tarrant county texas including the northern suburbs of ft worth,Informative
wind damage on nw expressway from turnpike to council,Informative
tornado at highway 99 and highway 10 in okheavy rain strong hook echopossible rain wrapped tornadofirst r,Informative
people trippen about these tornado warnings im from new orleans so that shit dont faze me lol,Non-Informative
tornado chaser talks lightning,Informative
oklahoma a broad tornado has blown through the oklahoma city metropolitan area at the start of evening rush hour confirmed 4 dead,Informative
tornado on ground near aurora and rhome,Informative
otherwise things are just great,Non-Informative
chika llevan 15 min sin darla por q cortaron la programcaion por lo de los tornado,Non-Informative
quite frankly the last thing id want to see after living thru a destructive tornado is obamas face,Non-Informative
solidarity with tornado victims,Non-Informative
average tornado warning is about 15 min now had 24 min,Informative
average tornado warning is about 15 min now had 24 min,Informative
yikes rt rt in el reno minutes ago,Informative
are you serious tornado gt svu ltlt uhh yeah,Non-Informative
god bless those facing new tornado threats,Non-Informative
so sorry for those injured in the tornado if you are in the path of one do not take it lightly seek shelter,Non-Informative
joplin missouri where at least 124 died sunday under watch,Informative
on the tornado update,Informative
leaving memphis for springfield tornado talk dominates the plane okc joplin childhood close calls from midwesterners,Non-Informative
joplin missouri where at least 124 died sunday under watch,Informative
thoughts out to stay strong lt3,Non-Informative
pray for n all them tornado victimsit helps,Non-Informative
tornado on the ground near russett ok,Informative
tornado support for oklahoma one mile southwest of little oklahoma tornado on the ground take cover,Informative
122 muertos 750 heridos y 2000 casas destruidas tras el tornado de misuri,Non-Informative
threat accelerated 2 hours from now right now damaging winds and hail appear to be biggest threat,Informative
parece que ya tocãƒâœ tierra un tornado como a 1 hr de acãƒâœãƒâ oo,Non-Informative
another very dangerous storm possible just ne of leon seek shelter ne of this cell follow,Informative
grim numbers from rt were hearing the death toll here is 169 and rising,Informative
any warnings for prague,Non-Informative
tornado on the ground in nw parker county,Informative
and disturbingly new tornado alert just been issued for well have all the latest news on at 9,Informative
big tornado hits oklahoma city at rush hour,Informative
tornado now on ground just north of azle moving ene 40 sm,Informative
saginaw haslet eagle mountain lake take cover tornado on the ground,Informative
tornado watches are in effect from texas to nebraska,Informative
my apartment that i lived in in college got destroyed by the tornado,Non-Informative
tornado spotted on the ground near azle area says,Informative
tornado watch now for entire metro area just issued,Informative
um emily theres actually a tornado coming,Non-Informative
no more complaining about spring weather seeing what has happened to and now okc,Non-Informative
tornado in denton county tx now reported to be near lantana warning info and radar,Informative
possible tornado 5 miles south of poolville in parker cty moving east at 40 mph this will track very close to springtown rshade,Informative
cnn just in storm prediction center issues tornado watch 4 western missouri extreme eastern kansas until 3am cdt,Informative
strong windsmaybe a tornadonear boyd the strongest ciirculations are near boyd and just south of agnes,Informative
ardmore bartlesville okmulgee ok still under tornado warnings,Informative
rain and thunder beginning in south tulsa,Informative
rain and thunder beginning in south tulsa,Informative
watching american idol with the fam while awaiting the bad possible tornado storms a strategic closet shelter is empty and waiting,Non-Informative
rt wth is this it better tornado or ima be pissed,Non-Informative
i feel sorry for everyone in oklahoma getting hit by the tornados rex is there,Non-Informative
oh ffs there is another tornado watch for stay safe folks,Informative
tornado warning in my hometown in northern washington county,Informative
weather service issues watch for western missouri extreme eastern kansas,Informative
i have heard some sad stories about the tornado in joplin and it breaks my heart too see the families suffering,Non-Informative
dear we can hear same old politics any night tonight americans are in danger cover tornado outbreak live otherwise you,Non-Informative
theres a tornado on the ground,Informative
the tornado formed around 150th and 76th in mcclain co it then split and cut two paths through the washingtongoldsby area,Informative
spotter reports seeing debris from a tornado thats on the ground at willow springs road south of avondale by 8 miles,Informative
we could help tornado victims if we a had sensible taxes b got out of afghanistan 3 ended war on drugs 4 never electe,Non-Informative
tornado to the north of tishomingo toward coalgate wapanucka is in the path,Informative
joplin under a tornado watch hey mother nature too soon,Informative
rt rt tornado watch now for entire metro area just issued,Informative
tornado warning for the northern parts of ft worth tx,Informative
thank you all for your responses to my countless tweets and twitpics from the devastation is hard to fathom,Non-Informative
tornado on the ground near russett ok,Informative
we need you in joplin missouri bring hope to the city after the devastating tornado will you please come,Non-Informative
the life of an okie the split sky of a tornado storm pitch black up front sun shining bright in da back,Informative
first baptist church in will be open as a shelter tonight,Informative
damaging wind threat coming into tulsa ok,Informative
margs and 7 layer dip prepared for the tornado,Non-Informative
watch live tornado on the ground in southern cook ok,Informative
oh lord the death toll is rising rt joplin missouri where at least 124 died sunday under watch,Informative
suman 122 muertos y 750 heridos por el tornado histãƒâœrico en misuri,Non-Informative
muertes por tornado en misuri se elevan a 122 el nãƒâœã‚â¼mero de muertos por,Non-Informative
tornado kills 89 in missouri,Informative
joplin missouri where at least 124 died sunday under watch,Informative
tornado spotted near dickson,Informative
northern dallas county you need to prepare to take tornado precautions soon as this storm will move towards you,Informative
tornado watch issued for joplin mo area where at least 124 people died in a twister sunday via,Informative
praying for the people affected by the tornado in missouri,Non-Informative
joplin just went under a tornado watch until 3amstorms south and west of tulsa right now743pm 70mph wind gusts mannford w of tulsa,Informative
just finished meeting with the samaritans purse lead team these people are the real deal amazing,Informative
watauga keller colleyville take cover tornado headed your way,Informative
praying for joplin mo and ok tornado victims,Non-Informative
tornado watch now for entire metro area just issued,Informative
joplin missouri where at least 124 died sunday under watch,Informative
just took coverdamn tornado landed about 15 minutes ago sirens and alarms are going off like crazy,Informative
joplin missouri where at least 124 died sunday under watch,Informative
collin county prepare to take tornado precautions shortly,Informative
q2 says the tornado in joplin was one of the deadliest in history,Informative
tornado warning for the northern parts of ft worth tx,Informative
rt storm prediction center in norman ok evacuated that cant be good,Informative
maybe the is only happening in mo another tornado on the way,Informative
tornado 2 miles west of azle at 738,Informative
please pray for the tornado victims please,Non-Informative
tornado on the ground near azle,Informative
rt rt noaa says the tornado was an ef5 the 8th deadliest tornado on record,Informative
ordered a pizza,Non-Informative
you must be in a place of safety in northern tarrant county right now this is an extremely dangerous situation,Informative
be sure that all your fans are praying for we love you and we support you d,Non-Informative
tornado warning for the northern parts of ft worth tx,Informative
parker and tarrant tornado warning until 815,Informative
circulation detected near harjo n of maud and s of earlsboro be prepared to take your tornado precautions,Informative
found a solid looking brick bldg in to hide behind well do broadcast from here worried winds could flip o,Informative
the weather channel is showing atoka is in the back of a storm coming from ardmore areapossible tornadoover madill right now,Informative
fwd emergencystream livestream tornado warnings in texas live aerial shots now here,Informative
storm is moving into sand springs wind could gust as high as 90mph heed warnings,Informative
omg if the tornado interrupts glee i will be pissed d,Non-Informative
cuddling weatherunless a tornado smack our ass,Non-Informative
a tornado watch has just been issued for joplin,Informative
maps advisory strong outbreak as of 52411 7pm local plan shelter now,Informative
amazing video from oklahoma city where a powerful tornado tonight at least 7 people are dead the developing story on wjz news,Informative
our cry for,Non-Informative
see hommies nothing to worry about,Non-Informative
tornado on the ground near azle,Informative
tornado kills 2 in suburban oklahoma city,Informative
i hope my homies are doin ight with that tornado weather,Non-Informative
if you live in northern tarrant county stay alert a tornado may be on the ground near azle its moving east at 40mph,Informative
tornado watch likely to include kansas city kansas city overland park independence olathe saint joseph,Informative
tornado is on the ground along jacksboro highway in azle take shelter,Informative
good plan rt at least if there is a tornado i will just be stuck at workthat way i can practice guitar optimism is key,Non-Informative
me too a lot of my coworkers have familyconnections in the stories and realities are just sickening,Non-Informative
i appreciate everyones concern with my safety if you need me ill be out trying to lasso a tornado,Non-Informative
a tornado watch has been issued until 3 am for areas west of hwy 63,Informative
dos mexicanos muertos por tornado en missouri,Non-Informative
possible on the ground coming into little seek shelter in little ok follow 4 updates,Informative
and kc is officially under a tornado watch until 3am,Informative
at pucketts with to see play hopefully raise a lot of money for tornado victims,Non-Informative
urgent those in past please retweet,Informative
the national weather service had determined that the tornado that struck sunday was an ef5 producing winds greater tha,Informative
possible on the ground near ixl very strong tight rotation near se welty oklahoma seek shelter ne,Informative
ok over 1300 dollars in sales since 3 whether or not this tornado kills me working will oh yeah and i got burned,Non-Informative
prayers for everyone in harms way rt lord have mercy on tornado alley,Non-Informative
maunya dua duanya tornado dufan rt pilih salah satu bungee jumping atau tornado dufan,Non-Informative
thank you all for your responses to my countless tweets and twitpics from the devastation is hard to fathom mizzou,Non-Informative
too bad dey let me out early when it looks like its bout to b a tornado or sum shyt,Non-Informative
bear and a tornado all in one night,Non-Informative
ugh my mum is totally freaking about the weather shes packing stuff and moving it into the shelter,Non-Informative
another deadly tornado in oklahoma this shit is cray cray,Informative
cuz stay safe tonight storm center,Non-Informative
same here like storms hate tornado weather,Non-Informative
just heard on the news a boy was sucked out of a car by a tornado in ok and father seriously injured this is insane,Informative
will be live following the tornado watch coming to kc,Informative
tornado warning for payne and noble coutnies ok storm has history of large destructive tornado run,Informative
mo tornado single deadliest in us since 1950 seattle post intelligencer,Informative
midnight tornado has a show coming up on 20110526 at 1900 medkom gathering in bandung,Non-Informative
pea to quarter size hail in,Informative
paying for missouri tornado watch has been initiated,Informative
joplin death toll now 122 winds were 200 mph sadly toll likely to rise and more deaths in oklahoma tonight worst tornado toll in lifetime,Informative
spc tornado watch 358 status reports,Informative
the only thing left standing is the cross a doctor from on cnn my prayer is that the cross will be a refuge in their hearts,Informative
we all are scared of tornados but hope for just a second that if a tornado does come it hits the school,Non-Informative
chiefs gathering aid for tornado victims,Informative
weather service issues watch for western missouri extreme eastern kansas,Informative
al menos 122 muertos y 750 heridos por tornado en eu,Non-Informative
oh no rt msnbc is reporting 7 dead in ok tonight,Informative
weather service issues watch for western missouri extreme eastern kansas,Informative
more details on the wx station in el reno ok that survived a direct hit from a tornado and got 151 mph gust,Informative
will you please visit me and my friends in joplin missouri we need a lot of hope after,Non-Informative
this tornado better end soon im not gonna be happy if i miss,Non-Informative
joplin is under a tornado warning until 3 am,Informative
msnbcs anchor and meteorologist said this is an unprecedented outbreak in the heart of tornado alleyand toss to l,Informative
joplin under a tornado watch hey mother nature too soon,Informative
have mercy lord have mercy rt joplin missouri where at least 124 died sunday under watch,Informative
watching severe weather is much more than informative fact theres a guilty pleasure taken in tornado outbreaks,Non-Informative
watching tornado reports,Non-Informative
please pray for the tornado victims please,Non-Informative
right on eric cantor the reason we have a huge budget deficit is all our crazy spending on tornado relief,Non-Informative
thinking of everyone who is hurting right now because of the tornado youre not alone praying for you,Non-Informative
just stop rt joplin missouri where at least 124 died sunday under watch,Informative
lord have mercy on tornado alley,Non-Informative
my thoughts are with the tornado victims in missouri any remax agents there with a need please contact me,Non-Informative
so sick of tornadoes since we shamefully arent spending on nasa anymore maybe we could use it 2 develop a tornado defense mechanism,Non-Informative
arlington denton ft worth gainsville tx tornado warnings seek shelter immediately,Informative
tornado warning for the northern parts of ft worth tx,Informative
tornado warning for the northern parts of ft worth tx,Informative
another tornado warning for,Informative
please pray for the tornado victims please,Non-Informative
whilst shooting the tornado damage on large format i got a sup playa from a pedestrian 50 street cred,Non-Informative
threat accelerated 2 hours from now right now damaging winds and hail appear to be biggest threat,Informative
in ok,Non-Informative
joplin missouri where at least 124 died sunday under watch,Informative
ahhh i hear tornado sirens,Informative
drunk tornado watchingjk twistedddddd,Non-Informative
my son just came in the house and said its tornadoing can you make tornado a verb,Non-Informative
just packed our tornado kit it contains 2 bottles of wine and a chainsaw,Non-Informative
at least 75 homes are completely destroyed just a few miles to our westnorthwest my prayers are with all of those affected,Informative
tornado touches down in oklahoma,Informative
lord protect tornado valley,Non-Informative
deadly tornado kills 124 leaves twilight zone in its wake cnncom via,Informative
circulation center not necessarily tornado will approach sherman area within 15 20 mins,Informative
at olive garden wit some of the fam great place to be wen its a tornado watch,Non-Informative
texas oklahoma tornado warning,Informative
i have yet to look at fb but ive checked twitter several times for tornado updates,Non-Informative
damnall these tornado watches,Non-Informative
so it is a tornado warning hmph wheres my mr teddy,Non-Informative
weather service issues watch for western missouri extreme eastern kansas,Informative
be safe and praying for you,Non-Informative
can someone in tell me if my home is still standing please 1725 empire near corner of 18th empire i still dont know,Non-Informative
yep hanging out in tornado alley,Non-Informative
usually because i know that the tornado isnt heading in my direction i know i am such a ra arent i,Non-Informative
a new tight circulation has developed near justin in sw denton county a tornado could be imminent stay in shelter sm,Informative
bencana angin tornado itu di amrik selatan jauh kan dr macca,Non-Informative
que segun viene un tornado,Non-Informative
tornado in denton county tx now reported to be near lantana warning info and radar,Informative
please pray for the tornado victims please,Non-Informative
if you live in northern tarrant county stay alert a tornado may be on the ground near azle its moving east at 40mph,Informative
joplin missouri where at least 124 died sunday under watch,Informative
cuddling weatherunless a tornado smack our ass,Non-Informative
tornado warning at southlake,Informative
we are officially under a tornado watch until 3 am,Informative
praying for those in oklahoma please pray for us in mo raise your hand if you are ready for tornado season to be over,Non-Informative
joplin missouri where at least 124 died sunday under watch,Informative
tornado warning coal ok expires tue may 24 2130 edt,Informative
speaking of just got an email from a reader in the tornado path,Non-Informative
crap joplin is now under a tornado watch,Informative
msnbcs anchor and meteorologist said this is an unprecedented outbreak in the heart of tornado alleyand toss to lawrence odonnell,Informative
good week survived the rapture the tornado,Non-Informative
le dicen la tornado jaja,Non-Informative
where yall seeing this tornado shit atltltltit was on the weather channel,Non-Informative
major storms and even more tornados here in okc,Informative
731 bartlesville is now under a tornado warning,Informative
sorry folks but jim cantores orgiastic storm coverage is a hes an ambulance chaser without the legitimacy,Non-Informative
dtn usa two dead from oklahoma tornado oklahoma city reuters two people died when a tornado struck el reno,Informative
just in storm prediction center issues tornado watch for western missouri extreme eastern kansas until 3am cdt includes city,Informative
tornado watch eh way to take away the focus off the bulls game,Non-Informative
please pray for the tornado victims please,Non-Informative
storm center in norman ok evacuated workers take shelter as nears,Informative
damaging wind threat coming into tulsa ok,Informative
live radar tornado watch until 10 pm nbc dallasfort worth via,Informative
ugggggggghhhhhh im under tornado warning ugggghhhhh,Non-Informative
tornados gone house is safe power is out,Informative
ap just sent down a correction 4 dead in tornado,Informative
i tweet when my county is under a tornado warningwatch haha,Non-Informative
tarrant country tornado warning,Informative
3 small children missing in a oklahoma town got separated from their family as the tornado came throu,Informative
please please be safe a report isnt worth ur safety nothing is praying for the safety of all the residents of,Non-Informative
reported 2 miles west of this is to the nw of radar warning info,Informative
amusement park bukan pilihankutakut mau naik wahana kaya tornadorollercoaster dll,Non-Informative
spotters reporting a tornado near azle,Informative
new tornado trying to develop 10 mi ne of mineral wells moving e at 40 mph sm,Informative
duck tishomingo duck,Non-Informative
how it the weather your way arent you on tornado watch,Non-Informative
pizza the post tornado cigarette,Non-Informative
video tv crew from kfor captures huge tornado,Informative
yeah hopefully its not a tornado again in joplin which is sad to say id be relieved if it just ends up a severe storm,Non-Informative
am i the only one freaking out about this tornado in our state d,Non-Informative
my sister and family is back home with possible hail damage but that is about itvery grateful,Non-Informative
weather service issues watch for western missouri extreme eastern kansas,Informative
please pray for the tornado victims please,Non-Informative
al menos 122 muertos y 750 heridos deja el tornado en misuri segãƒâœã‚â¼n los ãƒâœã‚â¼ltimos datos was,Non-Informative
whew pretty scary many families impacted rt sooners be safe,Non-Informative
tornado in oklahoma,Informative
muertes por tornado en misuri se elevan a 122,Non-Informative
in colgate area tornado storm moving in your area,Informative
alright tarrant wise parker grayson cooke and denton are under a tornado warning,Informative
large tornado churning through northwest oklahoma city weather officials say,Informative
tornado warning i aint worrying bout it i seen the worse alreadii man so to new orleans hurricane katrina survivors man 5hundred4,Non-Informative
tornado warning has been cancelled for rockingham county caswell county remains under warning until 915,Informative
tornado watch at studios,Informative
i reallllllly dont like this little tornado stufff so please mother nature make it go away,Non-Informative
tornado warning dallas tx tarrant tx expires tue may 24 2145 edt,Informative
no not yetrt is there a tornado there,Non-Informative
omg my mama just said she smell the tornado coming but im coo coo 4 sipping wine n still studying,Non-Informative
shan did that tornado affect u,Non-Informative
home safe but sans power well make it,Non-Informative
please pray for the tornado victims please,Non-Informative
tornado warning for denton co,Informative
this tornado shit is outta hand,Non-Informative
i love how everyone at my school is freaking out over the tornado and im likeso anyone hungry haha,Non-Informative
the spc is handing over control to the air force norman under tornado emergency,Informative
sooners be safe what about osu cowboys,Non-Informative
fuck a tornado interrupting black ops,Non-Informative
is leaving me home alone guess the tornado ell come swoop me,Non-Informative
we are under tornado warning right now huddled in utility roomme son 2 lg dogs 2 catscramped space,Informative
rt according to a man found a horse in his pool after the central oklahoma tornades he doesnt own a horse,Informative
i grew up with the threat of severe weathernasty storms common here but not nearly the tornado threat as in other areas,Non-Informative
tornado ahh hell naww,Non-Informative
looking at these images of the tornado damage reminds me of anu back in 95,Non-Informative
lol i just dont want to die in a tornado alone some company would be nice lol im panicked,Non-Informative
part of me thinks does anyone give us money when other people have tragedies were writing checks holding telethons,Non-Informative
dear america prayers,Non-Informative
going live on breaking news re multiple deaths in as new tornado strikes plus incredible survival sto,Informative
even though im by myself right now and there may be a tornado i know im not alone,Non-Informative
east of avondale tx damage to homes in saginaw rope near frisco tx,Informative
hashtags to follow for weather updates oklahoma texas you get the idea,Informative
planning a tornado chasing trip,Non-Informative
visible wall cloud for the cell just to the east of shawnee ok,Informative
yeah these tornados aint no joke,Non-Informative
tornado in springtown,Informative
please pray for the tornado victims please,Non-Informative
kxii storm chaser doug drace confirms a large tornado on the ground 45 mi north of ravia on highway 1 take precautions immediately,Informative
ok ms lady lol stay out the way of the tornado tho stl,Non-Informative
i thought tornado season was over in sau from pineapple express voice,Non-Informative
remediar com raiva o que poderia ter se tornado amor nãƒâœã‚â£o vai trazer de volta a calma nem apaziguar a dor,Non-Informative
another tornado my god lt,Non-Informative
my heart goes out to the place not too far away from me you are in my prayers lt3,Non-Informative
a rotating wall cloud is 4 mi nw of azle moving e at 40 no tornado has been observed at this time sm,Informative
worst interviewer eliot spitzer mean spirited horrible questions needs to learn respect especially when talking with tornado victims,Non-Informative
please pray for the tornado victims please,Non-Informative
timewarner dont be stopping the game because of a tornado warning just let me watch the game if a tornado comes swo,Non-Informative
